source,target,tgt_lng
Neurorobotics,神经机器人学,
motor control,运动控制,
Egidio Falotico,Egidio Falotico,
Brain-Inspired Robotics Lab,类脑机器人实验室,
The BioRobotics Institute,生物机器人研究所,
Scuola Superiore Sant ’Anna,圣安娜高等研究学院,
TOPICS IN ROBOTICS,机器人学主题,
actuator,执行器,
control system,控制系统,
single joint control,单关节控制,
Position,位置,
Reference signal,参考信号,
voltage,电压,
current,电流,
motors,电机,
joints,关节,
configuration,构型,
robot control,机器人控制,
joint space,关节空间,
trajectory,轨迹,
end effector,末端执行器,
operational space,操作空间,
non-linear effects,非线性效应,
direct kinematics,运动学正解,
pose,位姿,
trajectory interpolation methods,轨迹插值方法,
Motion control,运动控制,
end-effector,末端执行器,
inverse kinematics transformation,逆运动学变换,
positional error,位置误差,
analogue signal,模拟信号,
robot actuators,机器人执行器,
forces,力,
torques,转矩,
robot motion,机器人运动,
sensors,传感器,
inverse kinematics algorithm,逆运动学算法,
internal coordinates,内部坐标,
end-effector pose,末端执行器位姿,
joint position,关节位置,
rotational joint,旋转关节,
translational joint,移动关节,
robot control system,机器人控制系统,
robot,机器人,
joint velocities,关节速度,
accelerations,加速度,
Cartesian coordinates,笛卡尔坐标,
Jacobian,雅可比矩阵,
voltages,电压,
currents,电流,
joint positions,关节位置,
robot end-effector,机器人末端执行器,
robot joints,机器人关节,
external coordinates,外部坐标,
time law,时间律,
linear trajectory,线性轨迹,
curvilinear trajectory,曲线轨迹,
transposed Jacobian matrix,转置雅可比矩阵,
proportional control system,比例控制系统,
gain matrix Kp,增益矩阵Kp,
Open-loop Dynamic Controller,开环动态控制器,
RNN,循环神经网络,
Joint control,关节控制,
Closed-loop (feedback) control,闭环（反馈）控制,
Sensor,传感器,
Desired value,期望值,
Current position,当前位置,
Control algorithm,控制算法,
joint torques,关节力矩,
robot end-point,机器人末端点,
world coordinate frame,世界坐标系,
Roll,翻滚角,
Pitch,俯仰角,
Yaw,偏航角,
direct kinematic model,正向运动学模型,
Eye,眼,
velocity,速度,
Motor command,运动指令,
task error,任务误差,
cerebellar synapses,小脑突触,
cerebellum error,小脑误差,
Cerebellar learning rule,小脑学习规则,
feedforward control,前馈控制,
Sensory prediction,感觉预测,
brain,大脑,
Movement adaptation,运动适应,
cerebellum,小脑,
movement errors,运动误差,
Neural network,神经网络,
dynamics,动力学,
Cerebellum-inspired algorithms,受小脑启发算法,
sensory feedback,感觉反馈,
optimal movement control,最优运动控制,
movement perturbations,运动扰动,
robot adaptation,机器人适应,
sensory errors,感觉误差,
Conclusions,结论,
Expected Perception,预期感知,
self motion,自身运动,
motion dynamics,运动动力学,
laws of physics,物理定律,
long term prediction,长期预测,
object trajectory,物体轨迹,
BraIRLab,BraIRLab,
handover,交接,
fault-tolerant,容错,
handover intention,交接意图,
interaction,交互,
intent,意图,
goal,目标,
perturbations,扰动,
Motion capture,动作捕捉,
human hand trajectories,人手轨迹,
recursive prediction,递归预测,
General Hand Motion Predictor,通用手部运动预测器,
LSTM,LSTM,
Data augmentation,数据增强,
down-sampling,下采样,
3D rotation,三维旋转,
mirroring,镜像,
re-scaling,重缩放,
handover trajectories,递交轨迹,
IK,逆运动学,
NN,神经网络,
joint_posistions,关节位置,
end effector_positions,末端执行器位置,
Supervised learning,监督学习,
MLP networks,多层感知机网络,
neurons,神经元,
layer,层,
Inverse Kinematic Controller,逆运动学控制器,
I-Support Prototype,I-Support原型,
Six DoF Hybrid System,六自由度混合系统,
Pneumatic,气动,
Tendon,腱驱动,
Mean Error,平均误差,
Standard Deviation,标准差,
X- axis rotation,X轴旋转,
Y- axis rotation,Y轴旋转,
Z- axis rotation,Z轴旋转,
workspace,工作空间,
sample points,采样点,
training,训练,
testing,测试,
data collection,数据采集,
LEARNING,学习,
Inverse Static Solution,逆静力学解,
feed-forward NN,前馈神经网络,
direct model,正向模型,
rigid manipulator,刚性机械臂,
TRAINING PHASE,训练阶段,
TEST PHASE,测试阶段,
INPUT,输入,
Desired OUTPUT,期望输出,
Network OUTPUT,网络输出,
Kinematics,运动学,
steady state assumptions,稳态假设,
Differential Inverse Kinematics,微分逆运动学,
redundancy resolution,冗余解析,
modelling errors,建模误差,
George Thuruthel T,George Thuruthel T,
Falotico E.,Falotico E.,
continuum manipulators,连续体机械臂,
unstructured environments,非结构化环境,
Soft robotics,软体机器人学,
Line Following,循迹,
Disturbance Rejection,扰动抑制,
Inverse Kinematic Model,逆运动学模型,
Input Layer,输入层,
